Common Space Types1,"LPD Allowances, W/ft2",RCR Threshold,a,b,c,d,e,f,g,h,i
Atrium,,,,,,,,,,,
<20 ft in height,0.39,NA,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
≥20 ft and ≤40 ft in height,0.48,NA,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
>40 ft in height,0.6,11,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Audience Seating Area,,,,,,,,,,,
Auditorium,0.61,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Gymnasium,0.23,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Motion picture theater,0.27,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Penitentiary,0.67,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Performing arts theater,1.16,8,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Religious facility,0.72,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Sports arena,0.33,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
All other audience seating areas,0.23,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Banking Activity Area,0.61,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Breakroom (See Lounge/Breakroom),,,,,,,,,,,
Classroom/Lecture Hall/Training Room,,,,,,,,,,,
Penitentiary,0.89,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
All other classrooms/lecture halls/training rooms,0.71,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Conference/Meeting/Multipurpose Room,0.97,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Confinement Cells,0.7,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Copy/Print Room,0.31,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Corridor2,,,,,,,,,,,
Facility for the visually impaired (and not used primarily by the staff)3,0.71,width <8 ft,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Hospital,0.71,width <8 ft,REQ,,,,REQ,REQ,ADD2,ADD2,ADD2
All other corridors,0.41,width <8 ft,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Courtroom,1.2,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Computer Room,0.94,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Dining Area,,,,,,,,,,,
Penitentiary,0.42,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Facility for the visually impaired (and not used primarily by staff)3,1.27,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Bar/lounge or leisure dining,0.86,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Cafeteria or fast food dining,0.4,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Family dining,0.6,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
All other dining areas,0.43,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Electrical/Mechanical Room7,0.43,6,REQ,,,,REQ,REQ,,,
Emergency Vehicle Garage,0.52,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Food Preparation Area,1.09,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Guest Room,0.41,6,See Section 9.4.1.3(b).,,,,,,,,
Laboratory,,,,,,,,,,,
In or as a classroom,1.11,6,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
All other laboratories,1.33,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Laundry/Washing Area,0.53,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
"Loading Dock, Interior",0.88,6,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
